2023-09-24 09:16:46,658 INFO    StreamThr :22399 [internal.py:wandb_internal():86] W&B internal server running at pid: 22399, started at: 2023-09-24 09:16:46.658278
2023-09-24 09:16:46,660 DEBUG   HandlerThread:22399 [handler.py:handle_request():144] handle_request: status
2023-09-24 09:16:46,664 INFO    WriterThread:22399 [datastore.py:open_for_write():85] open: /root/autodl-tmp/msc_ml/llm_thought/Evaluation/wandb/run-20230924_091646-1rkn2p53/run-1rkn2p53.wandb
2023-09-24 09:16:46,664 DEBUG   SenderThread:22399 [sender.py:send():379] send: header
2023-09-24 09:16:46,978 DEBUG   SenderThread:22399 [sender.py:send():379] send: run
2023-09-24 09:16:47,669 INFO    SenderThread:22399 [dir_watcher.py:__init__():211] watching files in: /root/autodl-tmp/msc_ml/llm_thought/Evaluation/wandb/run-20230924_091646-1rkn2p53/files
2023-09-24 09:16:47,669 INFO    SenderThread:22399 [sender.py:_start_run_threads():1121] run started: 1rkn2p53 with start time 1695518206.658916
2023-09-24 09:16:47,671 DEBUG   SenderThread:22399 [sender.py:send_request():406] send_request: summary_record
2023-09-24 09:16:47,671 INFO    SenderThread:22399 [sender.py:_save_file():1375] saving file wandb-summary.json with policy end
2023-09-24 09:16:47,677 DEBUG   HandlerThread:22399 [handler.py:handle_request():144] handle_request: check_version
2023-09-24 09:16:47,677 DEBUG   SenderThread:22399 [sender.py:send_request():406] send_request: check_version
2023-09-24 09:16:48,671 INFO    Thread-12 :22399 [dir_watcher.py:_on_file_created():271] file/dir created: /root/autodl-tmp/msc_ml/llm_thought/Evaluation/wandb/run-20230924_091646-1rkn2p53/files/wandb-summary.json
2023-09-24 09:16:50,823 DEBUG   HandlerThread:22399 [handler.py:handle_request():144] handle_request: run_start
2023-09-24 09:16:50,832 DEBUG   HandlerThread:22399 [system_info.py:__init__():31] System info init
2023-09-24 09:16:50,832 DEBUG   HandlerThread:22399 [system_info.py:__init__():46] System info init done
2023-09-24 09:16:50,832 INFO    HandlerThread:22399 [system_monitor.py:start():181] Starting system monitor
2023-09-24 09:16:50,833 INFO    SystemMonitor:22399 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-09-24 09:16:50,833 INFO    HandlerThread:22399 [system_monitor.py:probe():201] Collecting system info
2023-09-24 09:16:50,834 INFO    SystemMonitor:22399 [interfaces.py:start():190] Started cpu monitoring
2023-09-24 09:16:50,834 INFO    SystemMonitor:22399 [interfaces.py:start():190] Started disk monitoring
2023-09-24 09:16:50,835 INFO    SystemMonitor:22399 [interfaces.py:start():190] Started gpu monitoring
2023-09-24 09:16:50,836 INFO    SystemMonitor:22399 [interfaces.py:start():190] Started memory monitoring
2023-09-24 09:16:50,836 INFO    SystemMonitor:22399 [interfaces.py:start():190] Started network monitoring
2023-09-24 09:16:50,861 DEBUG   HandlerThread:22399 [system_info.py:probe():195] Probing system
2023-09-24 09:16:50,869 DEBUG   HandlerThread:22399 [system_info.py:_probe_git():180] Probing git
2023-09-24 09:16:50,881 DEBUG   HandlerThread:22399 [system_info.py:_probe_git():188] Probing git done
2023-09-24 09:16:50,881 DEBUG   HandlerThread:22399 [system_info.py:probe():240] Probing system done
