2023-08-17 02:03:07,023 INFO    StreamThr :2338 [internal.py:wandb_internal():86] W&B internal server running at pid: 2338, started at: 2023-08-17 02:03:07.022668
2023-08-17 02:03:07,025 DEBUG   HandlerThread:2338 [handler.py:handle_request():144] handle_request: status
2023-08-17 02:03:07,027 INFO    WriterThread:2338 [datastore.py:open_for_write():85] open: /root/autodl-tmp/msc_ml/llm_thought/Train/SVAMP/wandb/run-20230817_020307-hhred7lg/run-hhred7lg.wandb
2023-08-17 02:03:07,027 DEBUG   SenderThread:2338 [sender.py:send():375] send: header
2023-08-17 02:03:08,119 DEBUG   SenderThread:2338 [sender.py:send():375] send: run
2023-08-17 02:03:08,884 DEBUG   HandlerThread:2338 [handler.py:handle_request():144] handle_request: check_version
2023-08-17 02:03:08,885 INFO    SenderThread:2338 [dir_watcher.py:__init__():219] watching files in: /root/autodl-tmp/msc_ml/llm_thought/Train/SVAMP/wandb/run-20230817_020307-hhred7lg/files
2023-08-17 02:03:08,886 INFO    SenderThread:2338 [sender.py:_start_run_threads():1124] run started: hhred7lg with start time 1692208987.021505
2023-08-17 02:03:08,886 DEBUG   SenderThread:2338 [sender.py:send_request():402] send_request: summary_record
2023-08-17 02:03:08,886 INFO    SenderThread:2338 [sender.py:_save_file():1378] saving file wandb-summary.json with policy end
2023-08-17 02:03:08,886 DEBUG   SenderThread:2338 [sender.py:send_request():402] send_request: check_version
2023-08-17 02:03:09,887 INFO    Thread-12 :2338 [dir_watcher.py:_on_file_created():278] file/dir created: /root/autodl-tmp/msc_ml/llm_thought/Train/SVAMP/wandb/run-20230817_020307-hhred7lg/files/wandb-summary.json
2023-08-17 02:03:11,906 DEBUG   HandlerThread:2338 [handler.py:handle_request():144] handle_request: run_start
2023-08-17 02:03:11,916 DEBUG   HandlerThread:2338 [system_info.py:__init__():31] System info init
2023-08-17 02:03:11,917 DEBUG   HandlerThread:2338 [system_info.py:__init__():46] System info init done
2023-08-17 02:03:11,917 INFO    HandlerThread:2338 [system_monitor.py:start():181] Starting system monitor
2023-08-17 02:03:11,917 INFO    SystemMonitor:2338 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-08-17 02:03:11,917 INFO    HandlerThread:2338 [system_monitor.py:probe():201] Collecting system info
2023-08-17 02:03:11,919 INFO    SystemMonitor:2338 [interfaces.py:start():190] Started cpu monitoring
2023-08-17 02:03:11,920 INFO    SystemMonitor:2338 [interfaces.py:start():190] Started disk monitoring
2023-08-17 02:03:11,921 INFO    SystemMonitor:2338 [interfaces.py:start():190] Started gpu monitoring
2023-08-17 02:03:11,922 INFO    SystemMonitor:2338 [interfaces.py:start():190] Started memory monitoring
2023-08-17 02:03:11,924 INFO    SystemMonitor:2338 [interfaces.py:start():190] Started network monitoring
2023-08-17 02:03:11,949 DEBUG   HandlerThread:2338 [system_info.py:probe():195] Probing system
2023-08-17 02:03:11,957 DEBUG   HandlerThread:2338 [system_info.py:_probe_git():180] Probing git
2023-08-17 02:03:11,972 DEBUG   HandlerThread:2338 [system_info.py:_probe_git():188] Probing git done
2023-08-17 02:03:11,972 DEBUG   HandlerThread:2338 [system_info.py:probe():240] Probing system done
